시점,행정구역별(1),행정구역별(2),음주운전교통사고 비율,음주운전 교통사고발생건수,교통사고 발생건수
2020,광주광역시,동구,5.9,32,540
2020,광주광역시,서구,7.9,160,2019
2020,광주광역시,남구,6.8,59,863
2020,광주광역시,북구,7.4,164,2208
2020,광주광역시,광산구,9.3,194,2088
2020,대전광역시,소계,7.2,519,7215
2020,대전광역시,동구,6.4,70,1102
2020,대전광역시,중구,7.6,93,1225
2020,대전광역시,서구,8.1,189,2333
2020,대전광역시,유성구,6.5,117,1803
2020,대전광역시,대덕구,6.6,50,752
2020,울산광역시,소계,11.3,433,3834
2020,울산광역시,중구,10.4,63,603
2020,울산광역시,남구,11.4,145,1272
2020,울산광역시,동구,11.6,64,554
2020,울산광역시,북구,13.3,89,667
2020,울산광역시,울주군,9.8,72,738
2020,세종특별자치시,소계,8.9,72,813
2020,경기도,소계,8.6,4495,52391
2020,경기도,수원시,8.1,361,4480
2020,경기도,성남시,8.5,310,3640
2020,경기도,의정부시,8.2,139,1695
2020,경기도,안양시,10.6,142,1337
2020,경기도,부천시,6.9,231,3364
2020,경기도,광명시,6.3,61,964
2020,경기도,평택시,9.9,317,3190
2020,경기도,동두천시,11.6,38,329
2020,경기도,안산시,8.3,325,3931
2020,경기도,고양시,8.9,318,3586
2020,경기도,과천시,6.4,12,187
2020,경기도,구리시,7.1,54,758
2020,경기도,남양주시,9.5,215,2255
2020,경기도,오산시,8.2,89,1090
2020,경기도,시흥시,8.6,197,2293
2020,경기도,군포시,7.6,54,709
2020,경기도,의왕시,11.6,48,414
2020,경기도,하남시,5.8,69,1192
2020,경기도,용인시,8.8,288,3262
2020,경기도,파주시,8.9,131,1475
2020,경기도,이천시,8.2,91,1106
2020,경기도,안성시,8.6,92,1075
2020,경기도,김포시,9.2,156,1687
2020,경기도,화성시,10.3,305,2959
2020,경기도,광주시,8.9,172,1930
2020,경기도,양주시,7.6,78,1027
2020,경기도,포천시,9.2,76,829
2020,경기도,여주시,10.3,52,507
2020,경기도,연천군,4.9,10,203
2020,경기도,가평군,8.2,30,364
2020,경기도,양평군,6.1,34,553
2020,강원도,소계,8.8,619,7039
2020,강원도,춘천시,7.6,105,1380
2020,강원도,원주시,7.9,145,1830
2020,강원도,강릉시,11.2,95,848
2020,강원도,동해시,8.1,24,296
2020,강원도,태백시,10,17,170
2020,강원도,속초시,11.7,52,446
2020,강원도,삼척시,5.6,20,356
2020,강원도,홍천군,6.4,23,357
2020,강원도,횡성군,9.9,22,223
2020,강원도,영월군,9.1,14,154
2020,강원도,평창군,10.4,16,154
2020,강원도,정선군,5.9,6,101
2020,강원도,철원군,16,24,150
2020,강원도,화천군,5,6,121
2020,강원도,양구군,15.6,12,77
2020,강원도,인제군,8.5,7,82
2020,강원도,고성군,12.4,16,129
2020,강원도,양양군,9.1,15,165
2020,충청북도,소계,8.7,734,8398
2020,충청북도,충주시,8.4,92,1099
2020,충청북도,제천시,9.1,73,801
2020,충청북도,청주시,8.6,383,4456
2020,충청북도,충북 청원군,-,-,-
2020,충청북도,보은군,3,4,132
2020,충청북도,옥천군,8.1,13,160
2020,충청북도,영동군,4.4,7,158
2020,충청북도,진천군,10.2,49,481
2020,충청북도,괴산군,7.3,14,193
2020,충청북도,음성군,12.9,78,606
2020,충청북도,단양군,6.9,10,145
2020,충청북도,증평군,6.6,11,167
2020,충청남도,소계,12.4,1108,8952
2020,충청남도,천안시,11.4,351,3086
2020,충청남도,공주시,13.4,69,514
2020,충청남도,보령시,12.2,57,468
2020,충청남도,아산시,13.2,157,1190
2020,충청남도,서산시,16.4,121,737
2020,충청남도,논산시,12.8,48,375
2020,충청남도,계룡시,9.3,5,54
2020,충청남도,당진시,13.7,103,751
2020,충청남도,금산군,10.7,13,121
2020,충청남도,부여군,8,16,201
2020,충청남도,서천군,10.4,30,289
2020,충청남도,청양군,9.4,16,170
2020,충청남도,홍성군,14.9,48,322
2020,충청남도,예산군,11.7,44,375
2020,충청남도,태안군,10,30,299
2020,전라북도,소계,9.6,617,6451
2020,전라북도,전주시,11.6,241,2082
2020,전라북도,군산시,7.8,86,1103
2020,전라북도,익산시,7.9,86,1094
2020,전라북도,정읍시,7.9,39,491
2020,전라북도,남원시,8,22,275
2020,전라북도,김제시,9,33,368
2020,전라북도,완주군,14.9,35,235
2020,전라북도,진안군,13.5,7,52
2020,전라북도,무주군,8.5,8,94
2020,전라북도,장수군,4.1,3,73
2020,전라북도,임실군,2.6,3,115
2020,전라북도,순창군,12.8,14,109
2020,전라북도,고창군,6.8,10,147
2020,전라북도,부안군,14.1,30,213
2020,전라남도,소계,8.9,871,9816
2020,전라남도,목포시,8.5,143,1674
2020,전라남도,여수시,10.1,165,1635
2020,전라남도,순천시,8.5,114,1340
2020,전라남도,나주시,11.2,55,493
2020,전라남도,광양시,12.1,80,663
2020,전라남도,담양군,4.9,14,287
2020,전라남도,곡성군,7.4,9,122
2020,전라남도,구례군,9,10,111
2020,전라남도,고흥군,9.8,31,317
2020,전라남도,보성군,8.2,18,220
2020,전라남도,화순군,7.5,24,318
2020,전라남도,장흥군,6.7,17,255
2020,전라남도,강진군,6.6,20,301
2020,전라남도,해남군,9.6,27,281
2020,전라남도,영암군,7,28,400
2020,전라남도,무안군,9.4,37,395
2020,전라남도,함평군,6.5,12,185
2020,전라남도,영광군,7.9,15,190
2020,전라남도,장성군,7.2,18,249
2020,전라남도,완도군,8.8,15,170
2020,전라남도,진도군,6.7,7,105
2020,전라남도,신안군,11.4,12,105
2020,경상북도,소계,8.5,1072,12673
2020,경상북도,포항시,6.9,175,2537
