시도,시군구,기준년도,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
시도,시군구,기준년도,제1종,제2종,연습면허,무면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음
서울,용산구,부상자수,103,82,-,22,1,110,79,-,13,-,-,114,98,-,12,2,1,121,65,-,12,1,-,-,143,77,-,25,-,1,-,114,82,-,1,2,2,101,71,-,8,-,-,-,111,63,-,9,-,-,-,76,41,-,8,-,-,2,66,35,-,4,-,-,-
서울,성동구,사고건수,57,31,-,10,1,70,26,-,4,-,-,57,26,1,10,-,-,77,34,-,10,-,-,-,53,29,-,6,-,-,-,43,34,-,3,-,-,50,28,-,1,-,-,-,44,36,-,4,-,-,1,39,18,-,3,-,-,1,51,27,-,2,-,-,-
서울,성동구,사망자수,0,1,-,0,0,1,0,-,0,-,-,0,0,0,0,-,-,1,0,-,0,-,-,-,1,0,-,1,-,-,-,1,0,-,0,-,-,0,0,-,0,-,-,-,1,0,-,0,-,-,0,0,0,-,0,-,-,0,0,0,-,0,-,-,-
서울,성동구,부상자수,113,46,-,26,2,136,39,-,4,-,-,101,47,1,11,-,-,149,74,-,22,-,-,-,83,43,-,9,-,-,-,72,60,-,4,-,-,100,58,-,2,-,-,-,84,67,-,4,-,-,1,58,29,-,4,-,-,1,78,50,-,4,-,-,-
서울,동대문구,사고건수,88,31,-,11,-,98,38,-,7,-,-,78,28,-,13,-,-,81,31,-,10,-,-,-,95,41,1,6,-,-,-,67,31,-,6,-,2,57,33,-,4,-,-,-,63,30,-,3,-,-,1,40,18,-,1,-,-,4,39,26,-,8,-,-,3
서울,동대문구,사망자수,0,0,-,0,-,1,0,-,1,-,-,1,0,-,0,-,-,2,1,-,0,-,-,-,0,1,0,0,-,-,-,2,0,-,0,-,0,2,4,-,0,-,-,-,0,1,-,0,-,-,0,0,0,-,0,-,-,0,0,0,-,0,-,-,0
서울,동대문구,부상자수,162,55,-,18,-,187,69,-,9,-,-,129,42,-,24,-,-,130,51,-,29,-,-,-,165,73,2,8,-,-,-,122,49,-,11,-,3,95,48,-,8,-,-,-,101,54,-,6,-,-,1,53,28,-,1,-,-,4,68,38,-,10,-,-,4
서울,성북구,사고건수,75,31,-,4,-,62,28,-,11,-,-,73,37,-,8,-,-,64,33,-,6,-,-,-,61,35,1,4,-,-,-,69,34,-,4,-,-,54,26,-,1,-,1,-,50,31,-,4,-,-,1,37,19,-,2,-,-,4,30,20,-,3,-,1,-
서울,성북구,사망자수,1,1,-,0,-,0,0,-,1,-,-,1,0,-,0,-,-,0,1,-,1,-,-,-,1,0,0,0,-,-,-,3,0,-,0,-,-,0,0,-,0,-,0,-,2,0,-,0,-,-,0,1,0,-,0,-,-,0,1,0,-,0,-,0,-
서울,성북구,부상자수,131,51,-,6,-,103,44,-,13,-,-,121,53,-,14,-,-,122,44,-,8,-,-,-,98,46,1,4,-,-,-,99,54,-,6,-,-,86,39,-,2,-,1,-,87,64,-,9,-,-,1,71,25,-,6,-,-,4,60,33,-,3,-,1,-
