서울,동대문구,사망자수,6,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,동대문구,부상자수,151,24,13,13,12,6,8,20,17,9,8,8,13,162,16,11,11,14,18,12,5,16,17,9,15,18,86,15,-,9,4,7,7,5,4,4,9,10,12,120,6,8,15,5,15,11,14,4,7,15,10,10
서울,성북구,사고건수,82,5,4,3,6,8,12,7,9,5,10,8,5,86,11,5,10,10,7,10,5,4,9,5,4,6,62,5,2,9,6,3,6,3,4,5,11,6,2,54,4,5,5,1,7,7,4,3,7,1,5,5
서울,성북구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
서울,성북구,부상자수,128,12,4,6,8,9,18,12,10,9,17,10,13,161,18,9,19,21,12,19,12,11,11,7,9,13,106,8,2,19,5,3,8,6,5,7,16,13,14,97,5,9,5,2,10,17,14,4,11,2,10,8
서울,도봉구,사고건수,71,8,10,5,1,6,6,7,1,3,9,6,9,44,5,3,1,4,3,8,2,4,4,5,2,3,35,5,1,2,2,5,3,2,3,2,5,5,-,39,3,1,2,4,3,2,3,5,4,3,4,5
서울,도봉구,사망자수,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,도봉구,부상자수,122,15,19,9,1,10,13,13,2,3,15,8,14,72,9,7,2,5,5,15,2,4,7,8,4,4,52,5,3,6,4,6,3,3,4,2,10,6,-,66,6,1,3,8,5,5,3,10,5,6,7,7
서울,은평구,사고건수,69,4,4,8,9,8,7,6,5,3,5,7,3,79,6,8,4,6,6,2,12,6,5,14,5,5,77,12,3,4,5,4,8,3,2,7,10,7,12,72,2,8,5,6,7,3,8,8,6,5,9,5
서울,은평구,사망자수,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,은평구,부상자수,144,13,9,20,20,16,14,10,8,4,8,16,6,137,11,13,7,11,16,4,20,7,7,28,6,7,126,25,3,8,8,4,12,6,5,15,16,8,16,114,6,17,5,11,10,7,11,9,9,9,14,6
서울,서대문구,사고건수,52,7,4,5,4,7,4,5,2,4,3,3,4,58,1,2,3,11,5,2,8,1,9,6,4,6,35,1,3,1,2,1,3,1,2,6,2,10,3,44,5,5,5,4,5,2,2,5,3,2,4,2
서울,서대문구,사망자수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
서울,서대문구,부상자수,83,12,5,8,8,7,7,8,3,11,4,4,6,98,3,3,5,18,7,3,9,1,15,15,7,12,59,2,5,1,7,1,5,1,2,8,7,16,4,76,13,11,13,5,7,2,3,7,5,2,6,2
서울,마포구,사고건수,184,13,20,12,14,11,14,18,15,17,16,20,14,159,14,14,10,11,18,19,9,13,22,13,10,6,118,8,6,13,8,13,7,6,11,13,13,7,13,88,5,6,8,5,10,8,6,9,6,12,6,7
