,,자가용,,철도,,항공기,,선박/해상교통,,지하철,,[정기]고속/시외/시내버스,,[부정기]전세/관광버스,,차량대여/렌트,,자전거,,택시,,기타,
구분1,구분2,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
연령,15~19세,42.65,55.37,23.07,18.77,6.31,2.67,0.58,3.05,19.86,15.64,30.02,26.58,5.25,4.4,9.97,2.85,0.6,0.03,4.99,5.69,0,0.69
연령,20대,58.66,63.96,17.44,17.77,6.04,5.31,1.81,2.89,11.68,13.63,20.14,18.82,2.07,1.51,13.35,5.52,0.85,0.05,7.87,6.81,0.05,0.2
연령,30대,85.1,87.94,6.87,5.4,6.37,5.1,2.33,2.61,3.98,3.7,4.1,4.18,1.14,1.44,7.74,4.39,0.24,0.17,2.45,1.56,0,0.06
연령,40대,84.29,88.17,4.65,4.28,6.01,3.84,1.91,3.12,2.78,2.76,3.03,3.31,4.35,3.07,8.08,3.03,0.43,0.06,1.85,1.78,0.03,0.21
연령,50대,80.32,82.8,4.24,5.44,5.92,5.03,3.67,3.61,1.77,2.82,4.53,3.31,8.69,6.96,9.37,4.64,0.23,0.36,1.94,2.46,0.03,0.32
연령,60대,73.63,76.54,6.57,6.34,5.1,4.68,2.13,2.61,3.51,3.75,6.83,5.51,12.72,11.04,9.48,5.17,0.55,0.17,2.24,2.75,0.06,0.3
연령,70세이상,68.71,69.75,4.65,7.39,5.37,2.98,0.79,2.47,2.85,5.24,8.67,9.77,15.8,13.72,10.43,4.36,0.1,0.21,3.32,3.53,0.06,0.44
연령,전체,74.79,78.56,8.29,8.22,5.92,4.55,2.18,2.97,5.26,5.75,8.64,8.01,6.14,5.06,9.6,4.38,0.42,0.16,3.31,3.18,0.03,0.25
